Nr	Amino_FZ	Propofol	Ethanol	Series	Larval_stage	Length	Rep
17	without	with	without	4	L3	12.9	3
18	without	with	without	4	L3	7.2	3
19	without	without	with	4	L3	13.8	4
20	without	without	with	4	L3	9.1	4
21	without	without	with	4	L3	13.3	4
22	without	without	with	4	L3	13.8	4
23	without	without	with	4	L3	12.2	4
24	without	without	with	4	L3	13.9	4
25	with	with	without	4	L3	12.4	5
26	with	with	without	4	L3	13.3	5
27	with	with	without	4	L3	8.8	5
28	with	with	without	4	L3	10.7	5
29	with	with	without	4	L3	13.2	5
30	with	with	without	4	L3	13.5	5
31	with	without	with	4	L3	10.8	6
32	with	without	with	4	L2	9.5	6
33	with	without	with	4	L3	10.0	6
34	with	without	with	4	L3	9.7	6
35	with	without	with	4	L3	13.2	6
36	with	without	with	4	L3	11.4	6
37	without	with	with	4	L3	12.7	7
38	without	with	with	4	L3	13.3	7
39	without	with	with	4	L3	7.6	7
40	without	with	with	4	L3	12.0	7
41	without	with	with	4	L3	12.5	7
42	without	with	with	4	L3	8.4	7
43	with	with	with	4	L3	11.9	8
44	with	with	with	4	L3	10.9	8
45	with	with	with	4	L3	12.2	8
46	with	with	with	4	L3	10.9	8
47	with	with	with	4	L3	10.6	8
48	with	with	with	4	L3	9.2	8
1	without	without	without	5	L3	16.3	1
2	without	without	without	5	L3	16.1	1
3	without	without	without	5	L3	16.8	1
4	without	without	without	5	L3	17.4	1
5	without	without	without	5	L3	17.0	1
6	without	without	without	5	L3	17.2	1
7	with	without	without	5	L3	17.5	2
8	with	without	without	5	L3	16.4	2
9	with	without	without	5	L3	17.1	2
10	with	without	without	5	L3	16.3	2
11	with	without	without	5	L3	16.3	2
12	with	without	without	5	L3	17.1	2
13	without	with	without	5	L3	14.8	3
14	without	with	without	5	L3	17.0	3
15	without	with	without	5	L3	17.9	3
16	without	with	without	5	L3	14.0	3
17	without	with	without	5	L3	15.6	3
18	without	with	without	5	L3	16.9	3
19	without	without	with	5	L3	16.3	4
20	without	without	with	5	L3	17.1	4
21	without	without	with	5	L3	17.7	4
22	without	without	with	5	L3	16.3	4
23	without	without	with	5	L3	17.2	4
24	without	without	with	5	L3	6.9	4
25	with	with	without	5	L3	16.7	5
26	with	with	without	5	L3	16.8	5
27	with	with	without	5	L3	16.4	5
28	with	with	without	5	L3	16.1	5
29	with	with	without	5	L3	17.4	5
30	with	with	without	5	L3	18.1	5
31	with	without	with	5	L3	16.8	6
32	with	without	with	5	L3	16.8	6
33	with	without	with	5	L3	10.7	6
34	with	without	with	5	L3	16.9	6
35	with	without	with	5	L3	16.8	6
36	with	without	with	5	L3	15.9	6
37	without	with	with	5	L3	18.6	7
38	without	with	with	5	L3	15.2	7
39	without	with	with	5	L3	14.0	7
40	without	with	with	5	L3	16.8	7
41	without	with	with	5	L3	17.2	7
42	without	with	with	5	L3	13.6	7
43	with	with	with	5	L3	16.2	8
44	with	with	with	5	L3	16.4	8
45	with	with	with	5	L3	11.8	8
46	with	with	with	5	L3	15.7	8
47	with	with	with	5	L3	15.3	8
48	with	with	with	5	L3	15.6	8
1	without	without	without	6	L3	17.6	1
2	without	without	without	6	L3	18.3	1
3	without	without	without	6	L3	17.9	1
4	without	without	without	6	L3	16.9	1
5	without	without	without	6	L3	17.8	1
6	without	without	without	6	L3	17.3	1
7	with	without	without	6	L3	11.1	2
8	with	without	without	6	L3	18.3	2
9	with	without	without	6	L3	18.1	2
10	with	without	without	6	L3	17.3	2
11	with	without	without	6	L3	18.2	2
12	with	without	without	6	L3	17.3	2
13	without	with	without	6	L3	18.1	3
14	without	with	without	6	L3	11.3	3
15	without	with	without	6	L3	18.7	3
16	without	with	without	6	L3	18.8	3
17	without	with	without	6	L3	13.3	3
18	without	with	without	6	L3	17.4	3
19	without	without	with	6	L3	17.2	4
20	without	without	with	6	L3	18.1	4
21	without	without	with	6	L3	17.8	4
22	without	without	with	6	L3	17.9	4
23	without	without	with	6	L3	16.8	4
24	without	without	with	6	L3	18.1	4
25	with	with	without	6	L3	17.3	5
26	with	with	without	6	L3	17.6	5
27	with	with	without	6	L3	17.4	5
28	with	with	without	6	L3	19.1	5
29	with	with	without	6	L3	17.7	5
30	with	with	without	6	L3	18.8	5
31	with	without	with	6	L3	17.8	6
32	with	without	with	6	L3	16.8	6
33	with	without	with	6	L3	18.7	6
34	with	without	with	6	L3	17.7	6
35	with	without	with	6	L3	17.7	6
36	with	without	with	6	L3	17.9	6
37	without	with	with	6	L3	10.7	7
38	without	with	with	6	L3	18.7	7
39	without	with	with	6	L3	18.3	7
40	without	with	with	6	L3	17.7	7
41	without	with	with	6	L3	17.2	7
42	without	with	with	6	L3	17.9	7
43	with	with	with	6	L3	18.1	8
44	with	with	with	6	L3	16.9	8
45	with	with	with	6	L3	18.1	8
46	with	with	with	6	L3	18.3	8
47	with	with	with	6	L3	17.4	8
