Nr	Amino_FZ	Propofol	Ethanol	Series	Larval_stage	Length	Rep
38	without	with	with	15	L3_PF	15.3	7
40	without	with	with	15	L3_PF	15.6	7
43	with	with	with	15	L3_PF_Puppe	14.3	8
45	with	with	with	15	L3_PF	14.8	8
46	with	with	with	15	L3_PF	15.0	8
47	with	with	with	15	L3_PF	14.4	8
48	with	with	with	15	L3_PF	16.5	8
2	without	without	without	16	L3_PF_Puppe	15.6	1
3	without	without	without	16	L3_PF_Puppe	16.9	1
4	without	without	without	16	L3_PF_Puppe	15.2	1
6	without	without	without	16	L3_PF_Puppe	13.4	1
7	with	without	without	16	L3_PF_Puppe	16.2	2
14	without	with	without	16	L3_PF_Puppe	14.4	3
15	without	with	without	16	L3_PF_Puppe	13.4	3
17	without	with	without	16	L3_PF_Puppe	14.3	3
20	without	without	with	16	L3_PF_Puppe	15.3	4
21	without	without	with	16	L3_PF_Puppe	16.9	4
22	without	without	with	16	L3_PF_Puppe	13.8	4
29	with	with	without	16	L3_PF	16.3	5
30	with	with	without	16	L3_PF	15.2	5
31	with	without	with	16	L3_PF_Puppe	16.4	6
32	with	without	with	16	L3_PF_Puppe	13.1	6
33	with	without	with	16	L3_PF_Puppe	16.3	6
34	with	without	with	16	L3_PF_Puppe	16.3	6
36	with	without	with	16	L3_PF_Puppe	16.8	6
37	without	with	with	16	L3_PF_Puppe	14.2	7
38	without	with	with	16	L3_PF	17.1	7
42	without	with	with	16	L3_PF	15.3	7
45	with	with	with	16	L3_PF_Puppe	15.3	8
47	with	with	with	16	L3_PF	9.3	8
