cruise	period	pera	perb	perc	CT	O_Matter	mud	silt	clay	Semelidae	Cardiidae	Solecurtidae	Bivalvia	Cuspidariidae	Corbulidae	Lucinidae	Donacidae	Pharidae	Galeommatidae	Veneridae	Hiatellidae	Leptonidae	Mactridae	Mytilidae	Montacutidae	Petricolidae	Nuculidae	Nuculanidae	Pandoridae	Psammobidae	Lasaeidae	Tellinidae	Thracidae	Thyasiridae	Actaeonide	Aporrhaidae	Turridae	Cylichnidae	Epitoniidae	Gastropoda	Hydrobiidae	Eumidae	Naticidae	Opistobranchia	Turritellidae	Dentaliidae	Prochaetodermatidae	Ampeliscidae	Aoridae	Isaeidae	Caprellidae	Corophiidae	Eusiridae	Phoxocephalidae	Lysianassidae	Leucothoidae	Gammaridae	Oedicerotidae	Gammaridae	Bodotriidae	Nannastacidae	Diastylidae	Leuconidae	Alpheidae	Paguridae	Callianassidae	Decapoda_indStadiolarvale	Diogenidae	Majidae	Leucosiidae	Galatheidae	Goneplacidae	Laomediidae	Portunidae	Pinnotheridae	Processidae	Penaeidae	Upogebiidae	Squillidae	Cirolanidae	Isopoda_ind	Gnathiidae	Janiridae	Apseudidae	Paratanaidae	Ostracoda_ind	Amphiudidae	Asterinidae	Brissidae	Holothurioidea_ind	Synaptidae	Ophiothricidae	Ophiuroidea_ind	Schizasteridae	Spatangidae_ind	Cucumariidae	Chiridotidae	Aspidosiphonidae	Golfingidae	Phascolionidae	Sipuncula_ind	Sipunculidae	Nemertino_ind	Anthozoa	Virgulariidae	Ammotheidae	Platyhelminthes_ind	Paraonidae	Ampharetidae	Spionidae	Cirratulidae	Aphroditidae	Onuphidae	Opheliidae	Flabelligeridae	Sabellidae	Cossuridae	Arabellidae	Phyllodocidae	Maldanidae	Eunicidae	Glyceridae	Goniadidae	Polynoidae	Serpulidae	Hesionidae	Terebellidae	Lumbrineridae	Magelonidae	Nereidae	Nephtydae	Capitellidae	Oweniidae	Pectinaridae	Pilargiidae	Poecilochaetidae	Scalibregmatidae	Pilargidae	Sternaspidae	Sigalionidae	Syllidae	Orbinidae	Priapulidae	Picnogonidae	Caprellidae	Caudofoveata	Phascolosomatidae	Ptychoderidae
JC1	1	1	0	0	0	1.07	31.47	19.11	12.36	3	0	0	1	0	8	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	0	4	0	7	0	0	0	0	0	1	1	1	0	1	1	0	0	0	2	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JC2	1	1	0	0	0	1.62	33.71	18.01	15.70	4	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	1	0	0	0	2	0	0	13	0	9	0	0	0	0	0	4	3	1	2	2	1	0	0	0	1	0	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JC3	1	1	0	0	0	1.55	28.85	18.74	10.11	1	1	0	1	0	2	0	0	0	0	3	0	0	0	1	0	0	2	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	1	1	0	2	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JC4	1	1	0	0	0	1.45	28.89	15.27	13.62	10	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	7	0	0	6	0	5	0	0	0	0	0	6	0	2	1	1	0	0	0	0	1	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
JC5	1	1	0	0	0	1.41	34.20	19.53	14.67	3	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	12	0	0	24	0	6	1	0	0	0	0	3	1	1	0	3	5	0	0	0	0	0	0	11	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
JT1	1	1	0	0	1	1.13	43.91	22.95	20.95	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	18	0	0	0	0	1	0	0	0	0	4	0	0	13	0	8	0	0	0	0	0	2	2	0	2	1	0	0	0	0	0	0	2	9	5	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
JT2	1	1	0	0	1	1.54	38.68	23.09	15.60	6	0	0	1	0	3	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	9	2	0	27	0	33	0	0	0	0	0	17	1	1	1	1	0	1	0	0	3	0	0	9	3	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0
JT3	1	1	0	0	1	1.42	50.13	23.79	26.33	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	1	0	49	1	2	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	7	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
JT4	1	1	0	0	1	1.66	31.78	16.13	15.66	5	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	7	0	0	2	0	15	0	0	1	0	0	6	0	1	2	0	1	0	0	0	0	1	0	6	9	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
JT5	1	1	0	0	1	1.62	44.46	22.22	22.23	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	2	1	0	23	0	0	0	0	0	0	0	7	1	3	0	2	0	0	0	0	0	1	0	6	9	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
A1C1	2	0	1	0	0	1.04	32.07	19.56	12.51	15	2	0	0	0	0	0	0	7	0	4	0	0	1	0	10	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	2	0	23	4	0	0	0	0	0	4	0	2	0	1	0	0	0	2	0	0	0	9	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	13	0	1	0	3	0	0	0	7	0	41	0	2	65	0	37	0	0	1	0	0	26	14	4	15	3	1	0	1	2	23	2	0	13	23	0	0	0	5	0	2	0	4	7	0	0	0	0	0	0	0
A1C2	2	0	1	0	0	1.38	36.06	21.99	14.06	12	2	0	0	0	4	0	0	0	0	1	0	0	0	0	6	0	1	0	0	0	0	10	0	2	0	0	0	0	0	3	0	0	0	0	1	0	5	7	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	14	1	1	0	2	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	3	0	12	0	1	40	0	33	0	0	1	0	0	19	6	2	2	0	1	0	0	1	13	0	2	19	13	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	0
A1C3	2	0	1	0	0	1.65	31.49	20.07	11.42	25	1	3	1	0	0	0	0	3	0	1	0	0	0	0	1	0	1	2	1	0	4	4	1	8	0	0	0	0	0	0	0	0	0	0	0	0	14	7	0	0	0	2	1	1	0	3	0	0	0	1	0	4	1	0	0	16	1	0	0	1	0	1	0	0	0	9	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	14	4	0	0	0	0	0	0	1	0	41	0	0	32	0	77	0	0	0	0	0	31	9	3	6	11	2	0	0	0	9	0	3	10	35	0	0	2	1	0	0	0	7	3	0	0	0	0	0	0	0
A1C4	2	0	1	0	0	1.38	28.57	17.80	10.77	20	3	0	0	0	1	0	0	3	0	2	0	0	0	0	0	1	1	2	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	8	6	0	0	0	3	0	2	0	4	0	0	0	1	0	1	0	1	0	12	0	0	0	1	0	1	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	13	1	0	0	0	0	0	0	7	0	19	0	0	38	0	48	0	0	0	0	0	19	6	2	2	4	1	0	0	0	15	0	0	20	29	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0
A1C5	2	0	1	0	0	1.40	35.17	18.91	16.26	23	0	0	0	0	5	0	0	2	1	2	0	0	0	0	1	0	2	2	0	0	3	3	2	7	0	0	0	0	0	0	0	0	0	0	1	0	15	10	0	0	0	6	0	2	2	0	0	1	1	0	0	3	2	0	1	20	1	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	18	3	3	0	0	0	0	0	10	0	43	0	5	94	0	32	0	0	4	0	0	28	10	6	8	1	2	0	2	3	17	1	1	23	22	1	0	2	1	0	1	7	1	4	0	0	0	0	0	0	0
A1T1	2	0	1	0	1	1.21	35.94	21.45	14.49	11	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	7	0	2	4	0	0	0	0	1	0	1	1	0	1	0	2	0	0	4	0	0	3	3	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	5	0	2	31	0	4	0	0	0	0	0	8	1	4	1	0	0	0	2	0	3	0	1	18	23	0	0	0	1	0	0	8	6	0	0	0	0	0	0	0	0
A1T2	2	0	1	0	1	1.39	33.40	19.93	13.47	15	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	3	0	0	0	1	0	0	0	0	0	0	10	0	2	3	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	1	0	11	19	0	19	0	0	0	0	0	7	1	1	5	1	1	0	2	2	5	0	1	16	48	0	0	0	4	0	2	8	2	0	0	0	0	0	0	0	0
A1T3	2	0	1	0	1	2.01	33.20	20.33	12.87	14	0	1	3	0	2	0	0	6	0	3	0	0	0	0	9	0	0	0	0	0	3	0	2	6	0	0	0	4	0	3	0	0	0	0	2	0	6	10	0	2	0	2	0	5	2	3	0	0	0	0	0	0	3	0	0	6	9	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	29	0	0	0	0	0	0	0	0	0	4	0	2	26	0	20	0	0	0	0	0	18	1	2	4	4	2	0	2	1	5	1	2	8	23	0	0	1	4	0	2	1	1	0	0	0	0	0	0	0	0
A1T4	2	0	1	0	1	1.59	38.36	23.68	14.68	15	0	0	1	0	0	1	0	3	0	3	0	0	0	0	2	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	6	0	2	0	2	1	1	0	2	0	0	0	0	0	0	0	5	2	3	0	0	0	1	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	5	1	21	18	0	14	0	0	0	0	0	9	2	0	6	1	0	0	2	11	2	0	2	26	42	0	0	0	5	0	1	6	3	0	0	0	0	0	0	0	0
A1T5	2	0	1	0	1	1.59	36.29	21.95	14.34	23	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	4	0	0	0	10	0	6	0	0	0	0	0	0	0	0	10	0	0	3	1	1	0	0	0	2	0	1	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	25	0	0	0	0	0	0	0	0	0	6	0	16	100	0	10	0	0	0	0	0	5	0	2	14	0	3	0	0	3	6	0	0	21	5	0	0	2	0	0	0	20	3	0	0	0	0	0	0	0	0
A2C1	2	0	1	0	0	1.14	35.67	22.25	13.42	20	0	1	0	0	3	1	4	6	0	8	0	0	0	0	4	0	1	3	0	0	0	10	1	8	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	1	1	0	0	0	6	0	14	0	11	35	0	36	0	0	2	0	0	16	9	2	11	4	2	0	0	1	9	2	1	15	22	1	1	0	1	0	0	1	2	3	0	0	0	0	0	0	0
A2C2	2	0	1	0	0	1.41	30.88	19.30	11.58	22	0	0	2	0	3	0	0	3	0	2	0	0	0	0	0	0	1	1	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	5	3	0	0	0	0	0	1	0	2	0	2	0	0	0	0	1	0	1	20	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	19	0	15	51	0	42	0	0	0	0	0	13	10	3	9	0	0	0	0	1	12	0	4	30	18	0	0	2	2	0	0	1	2	0	0	0	0	0	0	0	0
