Number of Records,Created At,Entities Str,From User,From User Id Str,Geo Coordinates,Id Str,In Reply To Screen Name,In Reply To Status Id Str,In Reply To User Id Str,Profile Image Url,Source,Status Url,Text,Time,User Followers Count,User Friends Count,User Lang,User Location
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""correctthemedia"",""name"":""DEPLORABLE MEDIA"",""id"":794652195484565500,""id_str"":""794652195484565504"",""indices"":[3,19]}],""urls"":[]}",correctthemedia,794652195484565504,,805889204030939136,,,,http://pbs.twimg.com/profile_images/794658466531000320/mElgSuiv_normal.jpg,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/correctthemedia/statuses/805889204030939136,"RT @correctthemedia: Out of the 20,736 absentee ballots cast in PA 18,467 went to Clinton—This is highly suspect.

What’s Going On?

https:…",05-Dec-16 9:38:53 PM,4060,3193,en,United States
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/cH85QTOan5"",""expanded_url"":""https://www.google.com/amp/www.chicagotribune.com/news/opinion/huppke/ct-trump-illegal-votes-huppke-20161205-story,amp.html?client=safari"",""display_url"":""google.com/amp/www.chicag…"",""indices"":[87,110]}]}",JYoung_97,1708001845,,805889202546151424,,,,http://pbs.twimg.com/profile_images/797876803197136896/PjK-YAtJ_normal.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/JYoung_97/statuses/805889202546151424,"In fact-free America, maybe millions of Trump supporters voted twice - Chicago Tribune https://t.co/cH85QTOan5",05-Dec-16 9:38:53 PM,135,146,en,
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""VABVOX"",""name"":""Victoria Brownworth"",""id"":138168339,""id_str"":""138168339"",""indices"":[3,10]}],""urls"":[{""url"":""https://t.co/M5k2uXKnAE"",""expanded_url"":""http://www.cnn.com/2016/12/05/politics/ivanka-trump-jared-kushner-dc-move/index.html"",""display_url"":""cnn.com/2016/12/05/pol…"",""indices"":[77,100]}],""media"":[{""id"":805886441389781000,""id_str"":""805886441389780993"",""indices"":[101,124],""media_url"":""http://pbs.twimg.com/media/Cy8VctxXcAEJ1MI.jpg"",""media_url_https"":""https://pbs.twimg.com/media/Cy8VctxXcAEJ1MI.jpg"",""url"":""https://t.co/il1jqPvqkl"",""display_url"":""pic.twitter.com/il1jqPvqkl"",""expanded_url"":""https://twitter.com/VABVOX/status/805886444497760256/photo/1"",""type"":""photo"",""sizes"":{""small"":{""w"":680,""h"":366,""resize"":""fit""},""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""medium"":{""w"":800,""h"":430,""resize"":""fit""},""large"":{""w"":800,""h"":430,""resize"":""fit""}},""source_status_id"":805886444497760300,""source_status_id_str"":""805886444497760256"",""source_user_id"":138168339,""source_user_id_str"":""138168339""}]}",roxaneschmidt,959508212,,805889203733139460,,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/roxaneschmidt/statuses/805889203733139460,"RT @VABVOX: Ivanka Trump is moving to DC.
Melania Trump is staying in NYC. 

https://t.co/M5k2uXKnAE https://t.co/il1jqPvqkl",05-Dec-16 9:38:53 PM,211,454,en,
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[{""text"":""Currupt"",""indices"":[53,61]},{""text"":""PIG"",""indices"":[62,66]},{""text"":""Recount2016"",""indices"":[67,79]},{""text"":""AuditTheVote"",""indices"":[80,93]},{""text"":""notmypresident"",""indices"":[94,109]},{""text"":""ImStillWithHer"",""indices"":[110,125]}],""symbols"":[],""user_mentions"":[{""screen_name"":""2tonstuns"",""name"":""Pussygalore"",""id"":760016216891220000,""id_str"":""760016216891219968"",""indices"":[3,13]}],""urls"":[{""url"":""https://t.co/U8F3FtoIXP"",""expanded_url"":""http://www.reuters.com/article/us-usa-trump-recount-idUSKBN13U0JT"",""display_url"":""reuters.com/article/us-usa…"",""indices"":[15,38]}]}",GuyJJackson,16394558,,805889201648455680,,,,http://pbs.twimg.com/profile_images/60466031/geyser_normal.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/GuyJJackson/statuses/805889201648455680,RT @2tonstuns: https://t.co/U8F3FtoIXP yes show that #Currupt #PIG #Recount2016 #AuditTheVote #notmypresident #ImStillWithHer,05-Dec-16 9:38:53 PM,1395,2208,en,
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[{""text"":""TRUMPLEAKS"",""indices"":[12,23]},{""text"":""GrabYourWallet"",""indices"":[96,111]},{""text"":""amjoy"",""indices"":[112,118]},{""text"":""resist"",""indices"":[131,138]}],""symbols"":[],""user_mentions"":[{""screen_name"":""funder"",""name"":""Scott Dworkin"",""id"":14247236,""id_str"":""14247236"",""indices"":[3,10]},{""screen_name"":""JoyAnnReid"",""name"":""Joy Reid"",""id"":49698134,""id_str"":""49698134"",""indices"":[119,130]}],""urls"":[]}",DemocraticCoal1,800979086889848832,,805889203045355521,,,,http://pbs.twimg.com/profile_images/802168921080156160/co7ot9nr_normal.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/DemocraticCoal1/statuses/805889203045355521,"RT @funder: #TRUMPLEAKS Full list of Iranian Shipping companies used by Ivanka Trump &amp; fam

#GrabYourWallet #amjoy @JoyAnnReid #resist #mon…",05-Dec-16 9:38:53 PM,116,66,en,
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""DavidCornDC"",""name"":""David Corn"",""id"":15220768,""id_str"":""15220768"",""indices"":[3,15]}],""urls"":[]}",NoRedTea,736383789128142849,,805889202957193217,,,,http://pbs.twimg.com/profile_images/788559220673249280/esOWl5L9_normal.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/NoRedTea/statuses/805889202957193217,"RT @DavidCornDC: Alex Jones, Michael Flynn &amp; other Trump supporters pushed false Pizzagate. Today a man with gun seized at Comet Pizza. Utt…",05-Dec-16 9:38:53 PM,321,380,en,America the Great !
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[{""text"":""DeBlasio"",""indices"":[0,9]},{""text"":""Trump"",""indices"":[17,23]},{""text"":""Muslim"",""indices"":[30,37]},{""text"":""NYPD"",""indices"":[38,43]},{""text"":""NYDailyNews"",""indices"":[68,80]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/M5ZmCPQDWe"",""expanded_url"":""http://www.nydailynews.com/new-york/nyc-crime/de-blasio-blames-trump-muslim-nypd-officer-threatened-article-1.2899395?cid=bitly"",""display_url"":""nydailynews.com/new-york/nyc-c…"",""indices"":[81,104]}]}",wlfpack81,22656089,,805889205117349892,,,,http://pbs.twimg.com/profile_images/801411168225153024/MnB3TKWM_normal.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/wlfpack81/statuses/805889205117349892,#DeBlasio blames #Trump after #Muslim #NYPD officer is threatened - #NYDailyNews https://t.co/M5ZmCPQDWe,05-Dec-16 9:38:53 PM,778,2349,en,DC/DMV via the 757...
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""NYCMayor"",""name"":""Bill de Blasio"",""id"":19834403,""id_str"":""19834403"",""indices"":[3,12]}],""urls"":[]}",AlanFarrell,39472243,,805889203863257088,,,,http://pbs.twimg.com/profile_images/747150392975319040/Hst1oG1Y_normal.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/AlanFarrell/statuses/805889203863257088,RT @NYCMayor: Today I’m sending letters to the White House and Congress to request reimbursement for the NYPD’s role in protecting Trump To…,05-Dec-16 9:38:53 PM,4754,246,en,Dublin Fingal
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[],""media"":[{""id"":805889200868323300,""id_str"":""805889200868323328"",""indices"":[37,60],""media_url"":""http://pbs.twimg.com/media/Cy8X9VoUcAAOkx-.jpg"",""media_url_https"":""https://pbs.twimg.com/media/Cy8X9VoUcAAOkx-.jpg"",""url"":""https://t.co/J7aYwoT0FW"",""display_url"":""pic.twitter.com/J7aYwoT0FW"",""expanded_url"":""https://twitter.com/JournalistNancy/status/805889205452750848/photo/1"",""type"":""photo"",""sizes"":{""medium"":{""w"":675,""h"":1200,""resize"":""fit""},""small"":{""w"":383,""h"":680,""resize"":""fit""},""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""large"":{""w"":1152,""h"":2048,""resize"":""fit""}}}]}",JournalistNancy,635689118,,805889205452750848,,,,http://pbs.twimg.com/profile_images/676990025154895873/TU24gYTI_normal.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/JournalistNancy/statuses/805889205452750848,Beijing is flexing muscles to Trump? https://t.co/J7aYwoT0FW,05-Dec-16 9:38:53 PM,72,50,en,"Los Angeles, CA"
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/jxXIZCsuAQ"",""expanded_url"":""https://twitter.com/realdonaldtrump/status/805278955150471168"",""display_url"":""twitter.com/realdonaldtrum…"",""indices"":[91,114]}]}",bbpretty96,203664462,,805889203972280320,,,,http://pbs.twimg.com/profile_images/783695680867016705/FWLv9vax_normal.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/bbpretty96/statuses/805889203972280320,"I want to play ""I got your nose"" with Trump and see if he also throws a tantrum about that https://t.co/jxXIZCsuAQ",05-Dec-16 9:38:53 PM,610,2337,en,"Newfoundland, Can"
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""voguemagazine"",""name"":""Vogue Magazine"",""id"":136361303,""id_str"":""136361303"",""indices"":[3,17]}],""urls"":[]}",Hermasa,42139960,,805889203670228993,,,,http://pbs.twimg.com/profile_images/798229293201551360/eC4d9F-A_normal.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/Hermasa/statuses/805889203670228993,RT @voguemagazine: Concerns about the potential conflicts of interest between Trump's company and his presidency continue to abound. https:…,05-Dec-16 9:38:53 PM,184,182,en,"NH, MD USA and Brussels, BE"
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/SoRIZZJv8N"",""expanded_url"":""http://www.bloomberg.com/politics/articles/2016-12-04/netanyahu-looks-forward-to-discussing-bad-iran-deal-with-trump-iwb5jb6v"",""display_url"":""bloomberg.com/politics/artic…"",""indices"":[81,104]}]}",NLUVWMIKE,42037259,,805889204001665025,,,,http://pbs.twimg.com/profile_images/579115577295278080/ckFvIxVN_normal.jpg,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/NLUVWMIKE/statuses/805889204001665025,Netanyahu Wants to Discuss Iran With Trump as Tensions Grow - Bloomberg Politics https://t.co/SoRIZZJv8N,05-Dec-16 9:38:53 PM,3649,3056,en,Republic of Texas
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/f0GdG9AIiA"",""expanded_url"":""http://fb.me/3rluhVLj6"",""display_url"":""fb.me/3rluhVLj6"",""indices"":[73,96]}]}",lynnmarrapodi,29918399,,805889202248437760,,,,http://pbs.twimg.com/profile_images/378800000552208795/4fcfb98853a900edd3c1725885764ce7_normal.jpeg,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",http://twitter.com/lynnmarrapodi/statuses/805889202248437760,Ivanka Trump meets with Al Gore at Trump Tower to discuss climate change https://t.co/f0GdG9AIiA,05-Dec-16 9:38:53 PM,74,141,en,"New York, NY"
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""tomricks1"",""name"":""Tom Ricks"",""id"":2319632756,""id_str"":""2319632756"",""indices"":[3,13]}],""urls"":[{""url"":""https://t.co/hwN65Rv2U9"",""expanded_url"":""http://foreignpolicy.com/2016/12/02/chickens-coming-home-to-roost-what-tom-donilon-and-ben-rhodes-hath-wrought-at-the-obama-white-house/"",""display_url"":""foreignpolicy.com/2016/12/02/chi…"",""indices"":[101,124]}]}",badjerry_1,2181188602,,805889205582884864,,,,http://pbs.twimg.com/profile_images/378800000743534391/de616c517ad89c89bc521069f3d21f83_normal.jpeg,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",http://twitter.com/badjerry_1/statuses/805889205582884864,"RT @tomricks1: Should we blameTom Donilon and Ben Rhodes for Trump's cabinet picks? Pretty much yes

https://t.co/hwN65Rv2U9",05-Dec-16 9:38:53 PM,3314,3322,en,
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""Scaramucci"",""name"":""Anthony Scaramucci"",""id"":24578794,""id_str"":""24578794"",""indices"":[3,14]},{""screen_name"":""Oprah"",""name"":""Oprah Winfrey"",""id"":19397785,""id_str"":""19397785"",""indices"":[50,56]}],""urls"":[]}",AbsurdinessAK,785009841295151104,,805889202558672896,,,,http://pbs.twimg.com/profile_images/785013112814522368/V7hF7x3r_normal.jpg,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",http://twitter.com/AbsurdinessAK/statuses/805889202558672896,RT @Scaramucci: 28 yrs ago Pres.-elect Trump told @Oprah he'd run for office only if America got too far down bad path. Here we are https:/…,05-Dec-16 9:38:53 PM,202,290,en,Karlsville
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""jbouie"",""name"":""Jamelle Bouie"",""id"":14190948,""id_str"":""14190948"",""indices"":[0,7]}],""urls"":[]}",nealcincinnati,1700759646,,805889204001574913,jbouie,805888334375620609,14190948,http://pbs.twimg.com/profile_images/694257884163657728/j49r3QuJ_normal.jpg,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",http://twitter.com/nealcincinnati/statuses/805889204001574913,"@jbouie city was on edge for that mistrial a 3 weeks ago, but we had very peaceful demonstration, considering also first post Trump Saturday",05-Dec-16 9:38:53 PM,,16,en,
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""YouTube"",""name"":""YouTube"",""id"":10228272,""id_str"":""10228272"",""indices"":[80,88]}],""urls"":[{""url"":""https://t.co/uo2EbSyHwO"",""expanded_url"":""http://youtu.be/ag-ZhIqWfKA?a"",""display_url"":""youtu.be/ag-ZhIqWfKA?a"",""indices"":[52,75]}]}",iAngryAlbanian,800085797365915648,,805889203003342848,,,,http://pbs.twimg.com/profile_images/800087099777155075/oT-aaWjD_normal.jpg,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",http://twitter.com/iAngryAlbanian/statuses/805889203003342848,Liberals love Fidel Castro but hate Donald Trump?!: https://t.co/uo2EbSyHwO via @YouTube,05-Dec-16 9:38:53 PM,22,221,en-GB,
