Source	Target	@mention	retweet	Weight
adam_zielonka	newyorkjetfuel		1	1
adamaddict	natureofthings7		1	1
adambaldwin	alexrossmusic	1		1
adamisalamb	davebernstein		1	1
adamjacobs33	sensanders		1	1
adamsflafan	slate	3		3
adamssakick	jackposobiec		1	1
adawnn93	andrew_ltf	1		1
adhrb	realdonaldtrump	1		1
adityaiyer10	jackposobiec		1	1
adlbspak	business		1	1
adnanation	jamillatweets		1	1
adnanrasool	postworldnews		1	1
adrian_scot	kassydillon		1	1
adrian_scot	peaceandjoy101		1	1
adrianat9735	lajornadaonline		1	1
adrianoesch	norahodonnell		1	1
adsteedley	tribelaw		1	1
adviseagainstit	c5hardtop1999		1	1
advocatemikos	evan_mcmullin		4	4
aedaw9i	charles_gaba		1	1
aedaw9i	mattmfm		1	1
aedaw9i	mediaite		1	1
aeifdp	meaglen	1		1
aerynsunx	ariberman		1	1
afashionfan	mitchellvii	1		1
affiongje	sosadtoday		1	1
afiblackshear	mattyglesias		1	1
afo_ogunnaike	skipyorkenergy		1	1
africanfighter	deanofcomedy		1	1
africaohafrica2	hirokotabuchi		1	1
afterseven	steveforbesceo		1	1
ag3nt_x	greatagain2017	1		1
agalva0896	asiesmonterrey		1	1
agathewh_	futalors		1	1
agavagai	georgetakei		2	2
agent_squeaks	fortunefunny		1	1
agetchel87	nycsouthpaw		1	1
agetchel87	thehill		1	1
agirlcalledd	jezebel		1	1
agoldrand	joyannreid		1	1
agvjm1	nycmayor		1	1
ahamd895	farzanehyaz		1	1
aharrisai	the_trump_train	1		1
aheatherheather	trumpd2016		1	1
ahhmelia__lc	kafostersowell		1	1
ahmad_h_khan	intlspectator		1	1
ahnethahra	casersatz		1	1
ahofschneider	alecmacgillis		1	1
aidanosullivan	prosyn		1	1
aidmatrlxdb	corporatocrazy		1	1
ainola1	reijotossavaine		1	1
airforce2100	misslizzynj		1	1
ajbsales	foxbusiness		1	1
ajeetyadav14695	textporns		1	1
ajwerko	bettyswernofsky		1	1
ajwerko	jackposobiec		1	1
ajwerko	mitchellvii		2	2
ajwerko	theralphretort		1	1
ajwfox5	foxbusiness		1	1
akaalterego	coslive		1	1
akabeth10	sensanders	1		1
akachman	hardball		1	1
akachman	lolgop		1	1
akachman	pittgriffin		3	3
akachman	therickwilson		1	1
akamomofmany	europenextyear		1	1
akassam12	mazmhussain	1		1
akcintn	lundybendslight	1		1
akdaggulcin	abdullahciftcib		1	1
akmedia	markos		1	1
akoz33	udarnik	1		1
al75433927	funder		1	1
al_xdpg	realdonaldtrump	1		1
alaanasef	time		1	1
aladybirdtweets	thehill		1	1
alanfarrell	nycmayor		1	1
alaskka40	markharrisnyc		1	1
alaskka40	va4hillary1		1	1
albanianmonk	sensanders		1	1
alberta_neuleib	mike_pence		1	1
albertmendonca	rightwingwatch		1	1
albertxpat	mikeandy128		1	1
