WDS	LDS	WMS	LMS	WGS	LGS	WAS	LAS	Area	Morphotypes
1.76	1.17	0.37	0.48	0.73	0.59	0.28	0.18	3	2
1.59	1.07	0.34	0.39	0.65	0.53	0.24	0.12	3	2
1.78	1.20	0.35	0.49	0.75	0.56	0.27	0.17	4	3
1.71	1.07	0.33	0.44	0.72	0.54	0.27	0.15	4	3
1.78	1.20	0.32	0.46	0.73	0.59	0.26	0.16	4	3
1.73	1.20	0.35	0.46	0.75	0.57	0.28	0.18	4	3
1.61	1.15	0.31	0.46	0.71	0.54	0.25	0.14	4	3
1.80	1.20	0.39	0.41	0.75	0.56	0.31	0.13	4	3
1.68	1.15	0.34	0.42	0.71	0.54	0.25	0.13	4	3
1.71	1.12	0.38	0.45	0.7	0.55	0.23	0.12	4	3
1.76	1.17	0.38	0.43	0.69	0.54	0.22	0.12	4	3
1.66	1.12	0.35	0.4	0.68	0.55	0.23	0.13	4	3
1.71	1.12	0.35	0.43	0.69	0.54	0.25	0.13	4	3
1.73	1.12	0.38	0.43	0.69	0.55	0.26	0.13	4	3
1.78	1.15	0.36	0.44	0.68	0.55	0.26	0.14	4	3
1.71	1.20	0.36	0.43	0.7	0.54	0.26	0.15	4	3
1.66	1.10	0.3	0.36	0.64	0.55	0.25	0.15	4	3
1.66	1.05	0.33	0.35	0.63	0.51	0.24	0.16	4	3
1.71	1.17	0.38	0.46	0.72	0.43	0.25	0.16	4	3
1.73	1.17	0.37	0.45	0.71	0.46	0.29	0.16	4	3
1.63	1.12	0.38	0.44	0.67	0.41	0.24	0.14	4	3
1.66	1.15	0.36	0.45	0.71	0.52	0.27	0.14	4	3
1.71	1.17	0.39	0.43	0.71	0.57	0.25	0.14	4	3
1.63	1.12	0.35	0.46	0.7	0.52	0.25	0.16	4	3
1.68	1.12	0.39	0.46	0.71	0.58	0.25	0.15	4	3
1.66	1.12	0.39	0.47	0.72	0.54	0.27	0.15	4	3
1.59	1.10	0.36	0.42	0.65	0.51	0.25	0.15	4	3
1.68	1.15	0.36	0.45	0.72	0.56	0.25	0.14	4	3
1.63	1.12	0.37	0.45	0.7	0.53	0.25	0.14	4	3
1.66	1.15	0.34	0.43	0.7	0.52	0.25	0.15	4	3
1.68	1.17	0.32	0.45	0.71	0.54	0.25	0.15	4	3
1.71	1.15	0.37	0.45	0.72	0.57	0.27	0.14	4	3
1.71	1.17	0.34	0.46	0.72	0.59	0.27	0.155	5	3
1.68	1.05	0.35	0.42	0.68	0.56	0.22	0.15	5	3
1.73	1.17	0.35	0.43	0.73	0.53	0.225	0.15	5	3
1.71	1.15	0.37	0.46	0.72	0.575	0.22	0.15	5	3
1.73	1.16	0.36	0.46	0.75	0.56	0.26	0.17	5	3
1.73	1.20	0.31	0.42	0.75	0.54	0.26	0.14	5	3
1.73	1.15	0.38	0.42	0.73	0.535	0.265	0.145	5	3
1.76	1.15	0.37	0.44	0.75	0.55	0.26	0.14	5	3
1.66	1.11	0.36	0.45	0.71	0.54	0.27	0.13	5	3
1.68	1.12	0.37	0.42	0.71	0.55	0.27	0.14	5	3
1.73	1.11	0.35	0.45	0.69	0.54	0.26	0.15	5	3
1.66	1.15	0.4	0.42	0.71	0.54	0.26	0.15	5	3
1.68	1.12	0.36	0.4	0.68	0.525	0.28	0.15	5	3
1.76	1.15	0.34	0.44	0.75	0.57	0.27	0.16	5	3
1.49	1.05	0.32	0.38	0.63	0.52	0.24	0.15	5	3
1.74	1.16	0.36	0.46	0.73	0.55	0.26	0.16	5	3
1.68	1.13	0.35	0.42	0.71	0.53	0.21	0.15	5	3
1.76	1.17	0.37	0.45	0.76	0.58	0.28	0.15	5	3
1.71	1.12	0.33	0.45	0.75	0.57	0.27	0.115	5	3
1.68	1.15	0.32	0.45	0.75	0.52	0.23	0.14	5	3
1.71	1.15	0.35	0.47	0.71	0.54	0.26	0.15	5	3
1.76	1.12	0.35	0.47	0.74	0.55	0.25	0.15	5	3
1.71	1.10	0.36	0.43	0.71	0.53	0.27	0.15	5	3
1.68	1.10	0.37	0.43	0.69	0.52	0.26	0.15	5	3
1.61	1.04	0.31	0.42	0.68	0.52	0.255	0.15	5	3
1.66	1.07	0.35	0.42	0.69	0.53	0.27	0.14	5	3
1.76	1.12	0.38	0.43	0.75	0.55	0.25	0.16	5	3
1.83	1.20	0.36	0.42	0.75	0.5	0.27	0.14	5	3
1.76	1.15	0.36	0.45	0.77	0.54	0.28	0.15	5	3
1.76	1.22	0.38	0.47	0.73	0.57	0.27	0.14	6	1
1.83	1.20	0.37	0.49	0.74	0.56	0.26	0.12	6	1
1.76	1.17	0.36	0.47	0.71	0.58	0.27	0.12	6	1
1.80	1.22	0.37	0.46	0.75	0.58	0.27	0.13	6	1
1.63	1.15	0.3	0.41	0.67	0.55	0.25	0.13	6	1
1.73	1.17	0.37	0.45	0.75	0.6	0.26	0.13	6	1
1.76	1.22	0.38	0.46	0.74	0.56	0.25	0.14	6	1
1.73	1.17	0.35	0.45	0.72	0.55	0.25	0.13	6	1
1.73	1.15	0.34	0.45	0.74	0.55	0.27	0.14	6	1
1.79	1.12	0.37	0.44	0.75	0.575	0.3	0.15	6	1
1.80	1.15	0.39	0.47	0.74	0.58	0.3	0.14	6	1
1.73	1.15	0.35	0.43	0.71	0.55	0.26	0.15	6	1
1.63	1.18	0.35	0.4	0.655	0.52	0.25	0.15	6	1
1.80	1.16	0.37	0.45	0.73	0.55	0.27	0.13	6	1
1.76	1.22	0.35	0.44	0.75	0.56	0.27	0.16	6	1
