Month	CTL 	CW 	PLdx 	PWdx 	PLsx 	PWsx	Weight	Sex	Maturity
May_04	58.2	25.1	35.7	13.3	36.8	13.3	39.0	f	3
May_04	46.2	19.4	41.2	11.8	41.6	11.6	23.0	m	2
May_04	58.1	25.6	55.8	15.0	60.3	19.3	51.5	m	1
May_04	64.2	27.0	44.7	17.1	50.0	19.0	58.0	f	4
May_04	47.4	20.9	43.0	14.6	49.8	12.0	27.0	m	2
May_04	59.8	25.8	52.8	15.8	55.0	16.8	47.0	m	1
May_04	60.0	25.9	67.0	18.8	30.6	7.1	47.5	m	1
May_04	62.0	26.1	63.6	20.0	NA	NA	NA	m	1
May_04	53.9	22.7	49.4	14.6	47.9	15.0	37.5	m	1
May_04	57.1	24.1	54.3	17.2	NA	NA	NA	m	1
May_04	53.8	24.1	54.5	18.6	55.0	18.5	43.5	m	1
May_04	63.3	27.5	49.1	16.5	49.1	17.6	51.0	f	4
May_04	59.3	25.9	41.0	11.4	NA	NA	NA	m	1
May_04	57.1	24.1	52.2	17.6	48.6	16.3	41.0	m	1
May_04	47.6	18.8	29.9	9.5	28.8	9.5	19.5	f	1
May_04	55.7	23.0	56.7	18.9	45.3	11.5	36.5	m	1
May_04	31.2	12.7	13.7	3.8	NA	NA	NA	f	1
May_04	42.2	18.2	34.6	11.1	34.8	11.3	16.0	m	2
May_04	62.5	26.9	62.9	21.3	63.5	21.7	62.5	m	1
May_04	49.1	20.5	31.6	10.6	32.2	10.6	22.0	f	2
May_04	54.6	22.0	27.8	8.9	36.2	11.9	29.5	f	2
May_04	40.3	17.3	23.2	7.8	22.9	8.1	14.0	f	1
May_04	53.1	23.4	37.8	13.6	37.0	13.8	33.0	f	2
May_04	57.4	26.8	42.0	14.0	41.8	14.6	42.0	f	2
May_04	58.2	24.6	NA	NA	41.0	15.1	37.5	f	3
May_04	55.0	23.1	37.4	13.8	34.2	13.5	33.0	f	2
May_04	56.0	23.5	42.1	11.5	56.8	20.7	42.0	m	1
May_04	53.4	23.3	48.2	15.0	47.3	15.8	36.5	m	1
May_04	55.0	23.5	52.3	17.4	52.3	17.2	39.5	m	1
May_04	65.0	27.5	46.3	18.2	46.7	18.3	56.5	f	2
May_04	61.3	26.1	44.0	15.8	43.2	15.4	48.0	f	2
May_04	52.2	22.4	52.9	18.5	52.6	18.4	36.5	m	1
May_04	55.9	24.7	53.3	19.2	52.8	19.1	45.0	m	1
May_04	53.3	23.3	37.8	13.2	38.4	13.1	34.5	f	2
May_04	34.4	14.7	17.9	6.4	18.5	6.6	9.0	f	1
May_04	42.5	19.1	34.5	13.3	NA	13.5	20.5	m	2
May_04	61.9	26.4	NA	NA	NA	NA	NA	m	1
May_04	38.2	16.5	21.0	7.4	22.0	7.3	12.5	f	1
May_04	32.7	13.5	16.1	4.7	14.7	4.7	6.0	f	1
May_04	48.4	20.6	44.6	14.3	NA	NA	24.5	m	1
May_04	52.6	22.5	34.6	12.7	35.2	13.6	31.0	f	4
May_04	27.9	11.3	12.3	4.0	11.9	4.2	4.5	f	1
May_04	31.5	12.7	16.6	4.9	16.9	4.9	6.0	m	2
