Site	Latitude	Longitude	Ecosystem	Temp	Flux
ChippeewaNationalForest	47.32	-93.28	Wetland	0.233675849	-0.16749327
ChippeewaNationalForest	47.32	-93.28	Wetland	0.108608449	-0.053030842
ChippeewaNationalForest	47.32	-93.28	Wetland	0.083954946	-0.117355955
ChippeewaNationalForest	47.32	-93.28	Wetland	-0.603565921	0.327136901
ChippeewaNationalForest	47.32	-93.28	Wetland	-0.13951001	0.115900327
ChippeewaNationalForest	47.32	-93.28	Wetland	0.264265133	0.250033691
ChippeewaNationalForest	47.32	-93.28	Wetland	0.365623309	0.226390432
ChippeewaNationalForest	47.32	-93.28	Wetland	0.015605167	0.178402084
ChippeewaNationalForest	47.32	-93.28	Wetland	0.016341351	0.074877595
ChippeewaNationalForest	47.32	-93.28	Wetland	-0.186219665	0.140595783
ChippeewaNationalForest	47.32	-93.28	Wetland	0.11773168	0.214141039
ChippeewaNationalForest	47.32	-93.28	Wetland	-0.007814008	0.165546642
ChippeewaNationalForest	47.32	-93.28	Wetland	0.222282131	0.11364457
ChippeewaNationalForest	47.32	-93.28	Wetland	0.097765752	-0.011892431
ChippeewaNationalForest	47.32	-93.28	Wetland	-0.027905369	0.031550415
ChippeewaNationalForest	47.32	-93.28	Wetland	0.22804165	-0.227986768
ChippeewaNationalForest	47.32	-93.28	Wetland	0.253986983	-0.140304862
ChippeewaNationalForest	47.32	-93.28	Wetland	0.02860248	-0.366678524
ChippeewaNationalForest	47.32	-93.28	Wetland	-0.021321982	-0.285675458
ChippeewaNationalForest	47.32	-93.28	Wetland	-0.844201068	-0.368322719
ChippeewaNationalForest	47.32	-93.28	Wetland	-1.403936684	-0.327305497
ChippeewaNationalForest	47.32	-93.28	Wetland	-1.294466455	-0.607985248
ChippeewaNationalForest	47.32	-93.28	Wetland	-1.590845541	-0.999783153
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.164019079	0.439935155
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	0.721941124	0.439935155
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	0.158321083	0.449787452
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	0.134446813	0.449787452
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	0.402319808	0.449787452
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	0.645916939	0.449787452
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.190739272	0.752068324
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.736017754	0.449787452
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.736017754	0.449787452
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.445608809	1.646380149
CrowleyLouisiana	30.217542	-92.374077	RicePaddy	1.301680365	2.135641595
